,,,,,[[  3.03511562e+04],,[[  3.03473384e+04],,[[  3.03511179e+04]
,,,,, [ -3.54349880e+01],, [ -3.54343957e+01],, [ -3.54349821e+01]
,,,,, [  8.88029698e+01],, [  8.88053551e+01],, [  8.88029937e+01]
,,,,, [  4.68171190e+04],, [  4.68177446e+04],, [  4.68171253e+04]
,,,,, [ -3.28775686e-04],, [ -3.28766983e-04],, [ -3.28775599e-04]
,,,,, [  7.46699402e-04],, [  7.46282385e-04],, [  7.46695230e-04]
,ERMS_train,ERMS_test,,, [  4.93680747e+02],, [  4.93722596e+02],, [  4.93681164e+02]
M=1,84854.74,71105.78,,, [ -1.29082322e-03],, [ -1.29080157e-03],, [ -1.29082300e-03]
M=2,83289.69,72133.95,,, [  2.23070012e+01],, [  2.23067807e+01],, [  2.23069990e+01]
M=3,82229.29,70169.53,,, [ -5.09422088e+01],, [ -5.09425668e+01],, [ -5.09422123e+01]
,,,,, [  1.71018707e-08],, [  1.71008700e-08],, [  1.71018607e-08]
,,,,, [ -4.26272984e-08],, [ -4.26236753e-08],, [ -4.26272622e-08]
,,,,, [ -1.14607363e+02],, [ -1.14612323e+02],, [ -1.14607413e+02]
,,,,, [  6.29012566e-08],, [  6.29021731e-08],, [  6.29012658e-08]
,,,,, [  1.48329793e-03],, [  1.48335924e-03],, [  1.48329854e-03]
,,,,, [ -3.32406728e-04],, [ -3.32401948e-04],, [ -3.32406681e-04]
,,,,, [ -1.03598238e-07],, [ -1.03594555e-07],, [ -1.03598202e-07]
,,,,, [  3.00822213e+00],, [  3.00822567e+00],, [  3.00822217e+00]
,,,,, [ -1.23791621e+00],, [ -1.23790141e+00],, [ -1.23791606e+00]
,,,,, [  5.37853196e-05]],, [  5.37665600e-05]],, [  5.37851317e-05]]
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,[[  3.03511179e+04],,,,
,,,,, [ -3.54349821e+01],,,,
,,,,, [  8.88029937e+01],,,,
,,,,, [  4.68171253e+04],,,,
,,,,, [ -3.28775599e-04],,,,
,,,,, [  7.46695230e-04],,,,
,,,,, [  4.93681164e+02],,,,
,,,,, [ -1.29082300e-03],,,,
,,,,, [  2.23069990e+01],,,,
,,,,, [ -5.09422123e+01],,,,
,,,,, [  1.71018607e-08],,,,
,,,,, [ -4.26272622e-08],,,,
,,,,, [ -1.14607413e+02],,,,
,,,,, [  6.29012658e-08],,,,
,,,,, [  1.48329854e-03],,,,
,,,,, [ -3.32406681e-04],,,,
,,,,, [ -1.03598202e-07],,,,
,,,,, [  3.00822217e+00],,,,
,,,,, [ -1.23791606e+00],,,,
,,,,, [  5.37851317e-05]],,,,
